Name,Province,Type,Population (2010),Area (km²),Prefecture Seat
Hefei*,Anhui,City,7457027,11323,Shushan District
Anqing,Anhui,City,5311000,15398,Daguan District
Bengbu,Anhui,City,3164000,5952,Bengshan District
Bozhou,Anhui,City,4851000,8394,Qiaocheng District
Chizhou,Anhui,City,1403000,9423,Guichi District
Chuzhou,Anhui,City,3938000,13398,Langya District
Fuyang,Anhui,City,7600000,13300,Yingzhou District
Huaibei,Anhui,City,2114000,2725,Xiangshan District
Huainan,Anhui,City,3342000,5533,Tianjia'an District
Huangshan,Anhui,City,1359000,9807,Tunxi District
Lu'an,Anhui,City,4610000,15447,Jin'an District
Ma'anshan,Anhui,City,1366000,1686,Yushan District
Suzhou Anhui,Anhui,City,5353000,9939,Yongqiao District
Tongling,Anhui,City,724000,1113,Tongguanshan District
Wuhu,Anhui,City,2263000,3317,Jiujiang District
Xuancheng,Anhui,City,2533000,12340,Xuanzhou District
Fuzhou Fujian*,Fujian,City,7115370,12000,Gulou District
Xiamen,Fujian,City,3531347,1573,Siming District
Longyan,Fujian,City,2559545,19069,Xinluo District
Nanping,Fujian,City,2645549,26300,Yanping District
Ningde,Fujian,City,2821996,13452,Jiaocheng District
Putian,Fujian,City,2778508,4200,Chengxiang District
Quanzhou,Fujian,City,8128530,11015,Fengze District
Sanming,Fujian,City,2503388,22929,Meilie District
Zhangzhou,Fujian,City,4809983,12607,Xiangcheng District
Jiuquan,Gansu,City,1095947,191342,Suzhou District
Jiayuguan,Gansu,City,231853,1133,Xiongguan District
Zhangye,Gansu,City,1199515,16216,Ganzhou District
Jinchang,Gansu,City,464050,8896,Jinchuan District
Wuwei,Gansu,City,1815054,33000,Liangzhou District
Baiyin,Gansu,City,1708751,8185,Baiyin District
Lanzhou*,Gansu,City,3616163,13100,Chengguan District
Gannan,Gansu,Autonomous prefecture (Tibetan),689132,40898,Hezuo City
Dingxi,Gansu,City,2698622,7837,Anding District
Linxia,Gansu,Autonomous prefecture (Hui),1946677,8169,Linxia City
Longnan,Gansu,City,2567718,27000,Wudu District
Tianshui,Gansu,City,3262548,14300,Qinzhou District
Pingliang,Gansu,City,2068033,11325,Kongtong District
Qingyang,Gansu,City,2211191,10470,Xifeng District
